
    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   128605  650847   12    2     0    0     0    0     0   1019    450   103   0  0 100
    2     0     0   128605  650847   19    1     0    0     0    0     0   1030    660   112   0  0 100
    1     0     0   130850  650725   16    0     0    0     0    0     0   1030    556   109   0  0 100
    1     0     0   130850  650724   12    0     0    0     0    0     0   1028    479   108   0  0 100
    1     0     0   130850  650724    9    0     0    0     0    0     0   1025    447   105   0  1 99
    1     0     0   130850  650724    7    0     0    0     0    0     0   1023    385   103   8  0 92
    1     0     0   130850  650394   21    0     0    0     0    0     0   1022   1014   118   7  2 91
    1     0     0   130850  650864   70    5     0    0     0    0     0   1022   1565   133   0  0 100
    1     0     0   130850  650863   56    4     0    0     0    0     0   1021   1306   127   0  0 100
    1     0     0   130850  650863   60    3     0    0     0    0     0   1021   1671   125  15  0 85
    1     0     0   130850  650533   71    4     0    0     0    0     0   1019   2347   148  18  1 81
    1     0     0   130850  650537  108    9     1    0     0    0     0   1029   3964   198  13  1 86
    3     0     0   118203  650533  112   10     0    0     0    0     0   1036   4230   210  19  3 78
    3     0     0   118203  650533  142   13     0    0     0    0     0   1043   5476   246  14  2 84
    3     0     0   118203  650533  144   14     0    0     0    0     0   1052   5522   253  20  1 79
    3     0     0   118203  650562  173   19     0    0     0    0     0   1056   6561   276  13  1 86
    3     0     0   118203  650533  170   20     0    0     0    0     0   1050   6373   274  20  1 79
    3     0     0   118203  650677  192   20     2    0     0    0     0   1053   7216   295  14  1 85
    3     0     0   118203  650533  179   17     3    0     0    0     0   1056   6981   296  10  1 89
    3     0     0   118203  650864  154   16     2    0     0    0     0   1053   6027   278   0  0 100

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    3     0     0   118203  650863  124   12     1    0     0    0     0   1046   4846   240   7  0 93
    3     0     0   118203  650533  117    9     0    0     0    0     0   1041   4632   228   4  2 94
    1     0     0   139358  650864  103   10     0    0     0    0     0   1045   4050   214   0  0 100
    1     0     0   139358  650863   82    8     0    0     0    0     0   1039   3272   191   0  0 100
    1     0     0   139358  650863   81    6     0    0     0    0     0   1034   3274   175  14  1 85
    1     0     0   139358  650533   91    8     0    0     0    0     0   1033   3689   193   9  1 90
    1     0     0   139358  650533  151   16     3    0     0    0     0   1057   4605   205   0  2 98
    1     0     0   139358  649386  121   12     2    0     0    0     0   1060   3899   189   0  0 100
    1     0     0   139358  649339  105   11     1    0     0    0     0   1055   3458   175   0  0 100
    1     0     0   139358  649338   84    8     0    0     0    0     0   1052   2898   162   0  0 100
    1     0     0   139358  649338   67    6     0    0     0    0     0   1048   2402   152   9  2 89
    1     0     0   139358  650849   79    5     0    0     0    0     0   1056   3394   186  14  3 83
    1     0     0   152654  650504  114    9     0    0     0    0     0   1212   4707   221  16  1 83
    1     0     0   152654  650533  117   10     0    0     0    0     0   1175   4868   234  17  1 82
    1     0     0   152654  650533  160   18     0    0     0    0     0   1158   6218   265  17  2 81
    1     0     0   152654  650546  154   18     0    0     0    0     0   1127   6049   265  16  4 80
    1     0     0   152654  650533  177   21     0    0     0    0     0   1117   6951   291  17  1 82
    1     0     0   152654  650533  166   28    15    0     0    0     0   1111   6605   289  16  2 82
    1     0     0   152654  650467  194   62    12    0     0    0     0   1118   7810   320  11  3 86
    1     0     0   152654  650546  219   84    10    0     0    0     0   1120   8794   328  12  3 85

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   152654  650546  243   73     8    0     0    0     0   1143   7921   325   0  1 99
    1     0     0   152654  649809  204   61     6    0     0    0     0   1151   7537   294   0 49 51
    2     0     0   134237  649205  194   50     4    0     0    0     0   1090   7669   275   1 11 88
    2     0     0   134237  649279  155   40     3    0     0    0     0   1072   6362   244   0  0 100
    2     0     0   134237  649405  124   32     2    0     0    0     0   1077   5185   221   0  1 99
