Linux 2.6.18-164.el5 (redhat1.vxindia.veritas.com) 	07/10/2010 	_x86_64_	(1 CPU)

01:40:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:40:11 PM     all      1.60      0.00      1.00      2.40      0.00      0.00      0.00      0.00     94.99
01:40:11 PM       0      1.60      0.00      1.00      2.40      0.00      0.00      0.00      0.00     94.99
01:40:21 PM     all      0.00      0.00      0.10      1.40      0.00      0.00      0.00      0.00     98.50
01:40:21 PM       0      0.00      0.00      0.10      1.40      0.00      0.00      0.00      0.00     98.50
01:40:31 PM     all      0.00      0.10      0.10      1.20      0.00      0.10      0.00      0.00     98.50
01:40:31 PM       0      0.00      0.10      0.10      1.20      0.00      0.10      0.00      0.00     98.50
01:40:41 PM     all      0.10      0.00      0.10      1.60      0.00      0.00      0.10      0.00     98.10
01:40:41 PM       0      0.10      0.00      0.10      1.60      0.00      0.00      0.10      0.00     98.10
01:40:51 PM     all      0.50      0.00      0.20      1.30      0.00      0.00      0.00      0.00     98.00
01:40:51 PM       0      0.50      0.00      0.20      1.30      0.00      0.00      0.00      0.00     98.00
01:41:01 PM     all      0.00      0.10      0.20      1.50      0.00      0.00      0.00      0.00     98.20
01:41:01 PM       0      0.00      0.10      0.20      1.50      0.00      0.00      0.00      0.00     98.20
01:41:11 PM     all      0.20     40.22     22.37     37.01      0.00      0.00      0.20      0.00      0.00
01:41:11 PM       0      0.20     40.22     22.37     37.01      0.00      0.00      0.20      0.00      0.00
01:41:21 PM     all      0.10     34.24     18.98     46.69      0.00      0.00      0.00      0.00      0.00
01:41:21 PM       0      0.10     34.24     18.98     46.69      0.00      0.00      0.00      0.00      0.00
01:41:31 PM     all      0.20     35.16     18.98     45.35      0.00      0.10      0.20      0.00      0.00
01:41:31 PM       0      0.20     35.16     18.98     45.35      0.00      0.10      0.20      0.00      0.00
01:41:41 PM     all      0.20     42.43     25.58     31.59      0.00      0.00      0.20      0.00      0.00
01:41:41 PM       0      0.20     42.43     25.58     31.59      0.00      0.00      0.20      0.00      0.00
01:41:51 PM     all      0.10     42.63     23.87     33.20      0.00      0.10      0.10      0.00      0.00
