CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0   19   0  607   214    4   36    0    2    9    0    80    0   7   0  93
  1   52   1 1870    87   10  178    2   11   30    1  1749    3   3   0  94
  2    2   0  146    18    0   24    0    2    6    0    36    0   0   0 100
  3    1   0   62    10    0   12    0    1    3    0    17    0   0   0 100
  4    3   0  115    15    0   33    0    2    6    0    41    0   0   0 100
  5    4   0  129    18    3   31    0    1    6    0    58    0   0   0 100
  6    4   0  117    16    1   27    0    2    5    0   156    2   0   0  98
  7    5   0   73    12    0   19    0    1    7    0    28    0   1   0  99
  8    6   0   40     7    0    8    0    1    3    0    36    1   0   0  99
  9   10   0  116    19    1   31    0    2    6    0   332    2   0   0  97
 10   55   0  872    77    6  187    1   10   23    1   867    5   2   0  93
 11    2   0   88    18    1   23    0    2    6    0   341    0   0   0 100
 12    4   0   88    12    0   24    0    1    5    0    47    0   0   0 100
 13    2   0   98    12    0   19    0    1    4    0    20    0   0   0 100
 14    2   0   53    12    0   16    0    1    4    0   332    3   0   0  97
 15    3   0  319    20    0   45    0    2    8    1    52    0   0   0 100
 16    4   0   35     9    0   10    0    1    3    0    16    0   0   0 100
 17    2   0  206     6    0    8    0    1    4    0    29    0   0   0 100
 18    8   0  174    18    1   35    1    2    7    0  3886    2   1   0  97
 19   49   1 1247    70    6  160    2   10   22    1  3414    5   3   0  92
 20   14   0  133    24    1   43    0    3   10    0    84    0   0   0  99
 21    2   0  133    11    0   15    0    1    5    0    27    0   0   0 100
 22    1   0   62    15    1   25    0    1    5    0    30    0   0   0 100
 23    1   0   36    10    0   23    0    1    6    0    92    1   0   0  99
 24    5   0   83    13    0   22    0    1    6    0    23    0   0   0 100
 25    3   0  176    17    0   42    0    2    6    0    66    1   1   0  99
 26    3   0  209    12    0   22    0    1    5    0   229    0   0   0 100
 27   12   0  198    26    1   94    1    3    8    0   188    1   0   0  99
 28   59   1  886    82    7  187    2    9   24    1  2293    6   2   0  92
 29    3   0   83    27    8   33    0    2    9    0  1192    1   0   0  99
 30    2   0   86    30   19   22    0    1    4    0    26    0   0   0 100
 31    1   0   64     7    0   10    0    1    3    0    22    0   0   0 100
 32    4   0   89    17    0   39    0    2    9    0    63    0   0   0 100
 33    5   0  247    11    1   25    0    1    9    0    72    0   0   0  99
 34    5   0  259    98   86   28    0    1    5    0    72    0   0   0  99
 35    4   0   57    12    1   20    0    1    4    0    21    0   0   0 100
 36   10   0  123    19    1   49    0    2    6    0  1459    3   1   0  97
 37   55   2 1703    79    5  218    1    9   25    2  3010    7   3   0  91
 38    1   0  368    18    4   18    0    2    4    0    19    0   0   0 100
 39    1   0  384     9    0   18    0    1    4    0    27    0   0   0 100
 40    7   0  130    13    0   31    0    2   10    0    58    0   0   0 100
 41    4   0  187    14    1   28    0    2   14    0   102    0   0   0  99
 42    4   0   64    14    1   18    0    1    5    0    63    0   0   0 100
 43    3   0   93    16    1   26    0    1    5    0    35    1   0   0  99
 44    4   0   26     8    0   11    0    1    2    0    31    0   0   0 100
 45    8   0 1015    21    1   55    0    3    8    0   158    0   1   0  99
 46   56   1 2508    81    8  210    2   11   31    1   924    5   4   0  91
 47    4   0   83    20    1   32    0    2    7    0    75    0   0   0 100
 48    4   0  360    18    0   33    0    2    8    0    47    0   1   0  99
 49    2   0   88    14    0   25    0    1    5    0    23    0   0   0 100
 50    1   0   68    12    0   21    0    1    5    0    25    0   0   0 100
 51    1   0   96    10    0   18    0    1    5    0    21    1   0   0  98
 52    1   0   51     7    0    8    0    1    3    0    11    0   0   0 100
 53    1   0   32     5    0    6    0    1    3    0     8    0   0   0 100
 54    7   0  194    20    1   39    0    2    9    0   112    0   0   0  99
 55   55   2 3431    87    5  227    2   14   40    3   814    5   5   0  90
 56   98   1 2422    87    8  223    2   12   49    1  1407    6   4   0  90
 57    3   0   84    20    1   24    0    2    6    0    88    1   0   0  99
 58    1   0   82    19   12    9    0    1    4    0     6    0   0   0 100
 59    2   0   46    17   12    6    0    1    4    0    26    0   0   0 100
 60    7   0  109    11    0   16    0    1    4    0    41    0   0   0 100
 61    4   0   57    13    0   25    0    1    7    0   401    0   0   0 100
 62    6   1  110    13    1   22    0    1    5    0    79    0   0   0  99
 63    7   0  458    25    1   97    0    5   12    0   193    0   0   0  99
Sun Jul 11 16:16:46 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0    0   0   23   202    0    0    0    0    0    0     0    0   0   0 100
  1    0   0   54   171   11  286    0    4    0   24   128    0   1   0  99
  2    0   0    1     5    0    2    0    0    0    0     0    0   0   0 100
  3    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  4    6   0   25     4    0   17    0    6   16    0   104    0   0   0  99
  5    0   0    2     7    0    4    0    0    0    0     0    0   0   0 100
  6    0   0    1     5    0    1    0    0    0    0     0    0   0   0 100
  7    0   0    0     3    1    2    0    0    0    0     0    0   0   0 100
  8    0   0    0     5    2    3    0    0    0    0     3    0   0   0 100
  9    0   0    9    51   11   48    0    0    0    0    34    0   0   0 100
 10   35   0  131    78   31   86    0    2    0    0   143    0   0   0  99
 11    0   0    1    16    6   16    0    0    0    0    14    0   0   0 100
 12    0   0    1     5    0    7    0    0    0    0     2    0   0   0 100
 13    0   0    3    11    0    6    0    0    0    0     0    0   0   0 100
 14    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 15    0   0    2    39   16   44    0    1    0    0    37    0   0   0 100
 16    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 17    0   0    2     7    0    3    0    0    0    0     0    0   0   0 100
 18    0   0    1     4    0    3    0    0    0    0     0    0   0   0 100
 19    0   0   79    51    1   42    0    3   97    0     9    0   0   0 100
 20    0   0    5    15    0   20    0    2    2    0     5    0   0   0 100
 21    1   0    1     2    0   17    0    6   18    0    81    0   0   0 100
 22    0   0    1     7    1    3    0    0    0    0     1    0   0   0 100
 23    0   0    0     3    0    1    0    0    0    0     0    0   0   0 100
 24    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 25   26   0    9    12    0    1    9    0    0    0   423   94   1   0   5
 26    0   0    0    11    0    0    0    0    0    0     0    0   0   0 100
 27    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 28    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 29    0   0    1     8    4    0    0    0    0    0     0    0   0   0 100
 30    0   0    0     3    0    1    0    0    0    0     0    0   0   0 100
 31    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 32    0   0    1     3    0    3    0    0    0    0     0    0   0   0 100
 33    0   0    1     4    0    2    0    0    0    0     0    0   0   0 100
 34    0   0  164   181  169   34    0    1    0    0    13    0   0   0 100
 35    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 36    0   0    1     2    0    2    0    0    0    0     0    0   0   0 100
 37    0   0   25    99   11  104    0    4    0    0    32    0   0   0  99
 38    0   0   12    37    1   27    0    0    0    0     0    0   0   0 100
 39    0   0    3    13    0   17    0    1    0    0     4    0   0   0 100
 40    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 41    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 42    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 43    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 44    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 45    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 46    0   0 23329    10    0    0    6    0    1    0   691   20  80   0   0
 47    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 48    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 49    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 50    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 51    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 52    0   0    4    13    0   10    0    0    0    0     0    0   0   0 100
 53    0   0    5    15    0   14    0    0    0    0     0    0   0   0 100
 54    0   0    3    10    0    6    0    0    0    0     0    0   0   0 100
 55   16   1  260   133   18  222    0    5   95   16   121    0   1   0  98
 56    0   0  106   171   52  167    0    6    0    0   121    1   0   0  99
 57   13   0   62     2    0    1    0    0    0    0     3    0   0   0 100
 58    0   0    4    18    5   24    0    1    0    0     8    0   0   0 100
 59    0   0    2    11    6    7    0    0    0    0     2    0   0   0 100
 60    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 61    0   0    3    11    0   20    0    1    0    0     7    0   0   0 100
 62    0   0    6    17    0   18    0    0    0    0     1    0   0   0 100
 63    4   0   10    32    0   34    0    2    0    0   300    1   2   0  97
Sun Jul 11 16:16:49 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0    0   0   25   204    0   10    0    1    1    0     0    0   4   0  96
  1   96   0  278   133   24  170    0    6    5    0   271    1   1   0  98
  2    0   0    0     4    1    2    0    0    0    0     0    0   0   0 100
  3    0   0    1     6    0   11    0    0    0    0     4    0   0   0 100
  4    0   0    3    13    0   38    0    1   43    0   115    0   0   0 100
  5    0   0    2     9    0   17    0    0    0    0     6    0   0   0 100
  6    0   0    2     4    0    5    0    0    0    0     0    0   0   0 100
  7    0   0    2    11    1   19    0    0    0    0    22    0   0   0 100
  8    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  9    0   0   10    46    8   42    0    1    0    0    26    0   0   0 100
 10   36   0 7140    81   23   82    2    4    6    0   313    7  25   0  68
 11    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 12    0   0    2    10    1   19    0    1    0    2    15    0   0   0 100
 13    0   0    6    22    0   19    0    1    0    0     2    0   0   0 100
 14    0   0    0     1    0    1    0    0    0    0     0    0   0   0 100
 15    0   0    1    29   13   26    0    0    0    0    25    0   0   0 100
