Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               3.93     0.00  0.69  0.00    22.57     0.00    32.51     0.01    8.69   5.05   0.35
sda1              0.46     0.00  0.08  0.00     2.92     0.00    37.05     0.00    7.44   6.91   0.05
sda2              0.12     0.00  0.06  0.00     1.48     0.00    23.71     0.00   11.13  10.40   0.06
sda3              0.34     0.00  0.08  0.00     3.36     0.00    41.87     0.00    9.23   8.73   0.07
sda4              0.00     0.00  0.00  0.00     0.01     0.00     2.00     0.00   83.00  83.00   0.02
sda5              0.70     0.00  0.11  0.00     2.77     0.00    25.07     0.00    7.65   6.98   0.08
sda6              0.69     0.00  0.09  0.00     2.54     0.00    26.90     0.00    9.17   8.21   0.08
sda7              0.23     0.00  0.06  0.00     0.64     0.00    10.07     0.00    8.35   7.52   0.05
sda8              0.50     0.00  0.06  0.00     0.58     0.00     9.49     0.00    7.28   5.59   0.03
sdb               1.83     0.00  0.34  0.00    11.86     0.00    35.19     0.00    4.11   2.94   0.10
sdb1              0.51     0.00  0.10  0.00     3.21     0.00    31.66     0.00    3.44   3.07   0.03
sdb2              0.72     0.00  0.08  0.00     2.60     0.00    33.57  3222.44    5.36 12599.67  97.40
sdb3              0.11     0.00  0.04  0.00     1.22     0.00    28.63     0.97    5.26 22774.18  97.43
sdc              14.02    11.91  8.47  7.53   659.22   155.55    50.92     0.27   16.69   4.97   7.95
sdc1              0.90     0.00  0.10  0.00     3.68     0.01    36.43     0.00    5.59   5.04   0.05
sdc2              9.95    11.52  6.93  7.06   559.56   148.63    50.65     0.23   16.33   5.44   7.60
sdc3              1.84     0.39  1.31  0.48    87.54     6.90    52.83     0.04   20.80  10.21   1.82
sdc4              0.00     0.00  0.00  0.00     0.01     0.00     2.00     0.00    2.40   2.40   0.00
sdc5              0.51     0.00  0.04  0.00     1.28     0.00    28.98     0.00   10.42  10.31   0.05
sdd               3.07     0.06  0.78 14.69    23.01   465.60    31.58     0.01    0.80   0.58   0.89
sdd3              1.91     0.06  0.50 14.68    16.42   465.49    31.74     0.01    0.81   0.58   0.88
sde               3.04     0.04  0.74 13.01    23.03   451.68    34.52     0.01    0.69   0.50   0.69
sde3              1.88     0.04  0.46 13.00    16.43   451.58    34.78     0.01    0.70   0.51   0.68
sdf               3.20     0.02  0.72 11.69    22.64   393.46    33.54     0.01    0.66   0.51   0.63
sdf3              2.03     0.02  0.45 11.67    16.04   393.36    33.78     0.01    0.67   0.51   0.62
sdg               3.07     0.01  0.70 11.79    22.51   394.21    33.36     0.01    0.68   0.52   0.65
sdg3              1.91     0.01  0.43 11.77    15.92   394.11    33.61     0.01    0.68   0.52   0.64
sdh               3.07     0.02  0.76 13.98    23.02   387.10    27.82     0.01    0.71   0.53   0.79
sdh3              1.90     0.02  0.49 13.97    16.43   387.00    27.91     0.01    0.72   0.54   0.78
